National ID,Full Name,DOB,Encrypted Passport Number,Issue Date,Expiry Date,Country
1.30111E+11,Charles Hess,19-10-1975,gAAAAABn5CE3UI6rQchkGKv1xkvgNcMuFJK_l5JQVCaQgVhH0VbQH8NNTGWCykrSDeePiT9svBK9Gt9uDWUBLklSmGxQdjDeJw==,13-02-2018,11-02-2028,Dominican Republic
5.86753E+11,Brianna Beasley,23-07-1957,gAAAAABn5CE3qesXVVnoxuR-_XOVuYPZ2y5E71wWjXy7skjuw0v2bN-JdPaKLnDoHdF0vXduIayl1trZNWv-nZiNxfs_INUKqw==,03-07-2020,01-07-2030,Mexico
4.14527E+11,Terry Mendoza,17-09-1998,gAAAAABn5CE3D_snDTsN0fcS94sUSpz5i46MqRknCXhu2FUKFDymnOPGR6HYHoYk_3qS4Q-tS7RJu6_y9OgQ7wp6H2l1auA1uQ==,19-02-2023,16-02-2033,Benin
1.86576E+11,Andrew Lopez,10-08-1959,gAAAAABn5CE3qKsa91uoPUEKYwQJw_v-fSXmAklMN2QIVy-lO3Gy5zRqKK_ermwVSxEyrGJIIWMyYMDVXcHN4S61EBMf3DTGZg==,08-05-2017,06-05-2027,Netherlands
7.64392E+11,Cody Martinez,30-01-1956,gAAAAABn5CE3rA-LJUCJM8LdwrIomH1V2Hs5d0fU37sh4PxKNjdkf5TylVft2revbUw1qffKyCKc3pL8TcdbkhsKef6tX0uqpA==,23-06-2021,21-06-2031,Brunei Darussalam
2.75879E+11,Denise Miles,22-11-1980,gAAAAABn5CE3bAE-FuDVVeX16Bbx2TVBeaVYxsW8qBkNFs6LIi3IeiivT7wUmW7-K0EP4XhWo2UVcL66ZKXxN30in63gkFoPkw==,21-11-2016,19-11-2026,Malawi
8.77393E+11,Lisa Black,27-12-1949,gAAAAABn5CE3weLhwIbW7DiDw8EB4GE9eCARaHCkhyJdmAAzu7-LaoCJ4q3W-18YvaAfkWyFSOAuPLufujoTbCDcskC9NH0h3Q==,17-11-2020,15-11-2030,Brazil
1.97726E+11,Lisa Wilson,30-01-2006,gAAAAABn5CE3ssjQJGx2UwANKfzhY4FlNMnLS2O7xU41uFVuqJm16SM3e2OeI05UMpNDFF5Q-Ooh4C61hRpz0gt-QZaXOl1psA==,05-05-2019,02-05-2029,Bahrain
4.06059E+11,Jasmine Greer MD,27-06-1963,gAAAAABn5CE3Q3ryCpgtpUhK6gj6rdhObXY5I5w8SnBZDVUC6Y0exz3-lZRGsIb9nI7J8ds2MXHzbO5p468xjwBnGVW-ycBcTg==,09-06-2017,07-06-2027,Greece
8.38328E+11,Julie Whitaker,20-11-1985,gAAAAABn5CE36Pfp1Vn4HoSOAtsMmy9DCJc4M5nAPQge1mPgBqdgRjs1Oy2M7uZT37r_NBIx1NmIWY9FJnvfNF4aaHx4EmX9ew==,03-05-2016,01-05-2026,British Indian Ocean Territory (Chagos Archipelago)
2.17125E+11,Lauren Walsh DVM,17-08-1971,gAAAAABn5CE38iJErK_vBZhdDx2XL6La65AhnExarEz74ihr3Ug3xkpk4hoWJpzSmOhELVrqv2Rsz3kfCtM1YI94GrPBAapTAw==,16-10-2020,14-10-2030,Tunisia
8.41583E+11,Christopher Copeland,26-12-1949,gAAAAABn5CE3nWDlic6n_wDalADM-6V8QinJ8kAPuikpmZ6YhmIJmmKhUMj3wqzL-dszvfbThAxKkq01admAy6c24Jl3IY_4wQ==,22-02-2023,19-02-2033,Belize
2.52103E+11,Robyn Davis DVM,19-06-1959,gAAAAABn5CE3ls9OIH4uuHdC1SKhxVGkwS0rCx4LcUD9oPfRJWlioeNXqEe8fy2TFoJibcKcKZEhe25wVkI1VLPaUHA9-MOY4g==,17-02-2019,14-02-2029,Ethiopia
3.94466E+11,Tyler Spencer,05-09-2004,gAAAAABn5CE3sZO6vq0NpHwOS6y1_oIvi6w_VwAiXlgyh8u0rV9OdTBG11v7u9pnOr2baDLL1JtdY5gRW2RENxzym4fGcr-yGA==,25-02-2024,22-02-2034,Western Sahara
8.28126E+11,Troy Duncan,02-10-1957,gAAAAABn5CE33r4Tf0VbJ1lTfky1OAMW2HTIFBhbGz2JQZsdOqC8GleAWfUc3ANuuv1dgfBXYUm8fIY68UPJsjNWuNpP2RMEsg==,05-09-2015,02-09-2025,Singapore
7.27569E+11,Thomas Johnson,07-10-1992,gAAAAABn5CE3wH_lstQFtyzuB3pXGrwdY04f_p9tFaPsOxYbGduEEBFbNtyAtjFnBAEVrykIhEYshbAH1Ij0MR3VKSd360o94w==,14-12-2023,11-12-2033,Botswana
9.86047E+11,Jason Davis,03-08-1948,gAAAAABn5CE3QHTxRHbWdSBSRlZQhksQH8iTVZH0ycjaLK-vycH54qjAFjkuvdro9MqKZRbA4tUUg9ysyP4B-1Lwp98HO1zZ4A==,07-05-2016,05-05-2026,Tanzania
3.54593E+11,Aaron Torres,26-02-1984,gAAAAABn5CE30ZlPB3coIwTurRpwGxhnQkHlfU6BjBQli857zbYiC2ymsSPjKHoAu-XEevuqeLY-NOvkZpMEqqCaKVzHPA8Bsw==,02-09-2022,30-08-2032,Turks and Caicos Islands
1.71339E+11,Timothy Fowler,24-11-1964,gAAAAABn5CE3Wk4w6sNVa6ONoRbKS80EdgCHm3RZ1oHnSTUuMOSSDOdp6ovdaBK9owu_azJXU84Ov3NE1m7J1AeisV6B62UzLg==,14-02-2016,11-02-2026,Italy
7.11121E+11,Mark Davis,12-07-1986,gAAAAABn5CE3bVKoyvJ9mCboDj8nUOGRIu_Yg0I8PHeIPVSBhDs0TebZlqHamOwmaFzbNi7RqAq9qFE4JP7dYy-mS0R2N1bE6g==,18-12-2020,16-12-2030,Turkmenistan
5.44296E+11,John Oliver,10-02-2006,gAAAAABn5CE3XnW4Hj8RFL-EWiRkE9Glu1O3CrCMQJTxlOtNmJugYPoD7vFqOTocymdRB1NtIM1Hz91Ih3Zyuchv9po1xoN1qA==,27-08-2018,24-08-2028,Indonesia
2.036E+11,Susan Young,07-03-1988,gAAAAABn5CE3a2BdeyUQ0upeLx9Jf3UCvza1u_fXokGhO5PiUcGmer7Fw2QkG5Al8ek_PUckqQlSxp0npXjW_rRIWiXmGUkECw==,21-09-2015,18-09-2025,Egypt
7.61513E+11,Aaron Johnson,28-05-1981,gAAAAABn5CE3rNDwf2qVKDgowEl46wGfUHP_dRr_ukvIwmDIzVnKfHYNsNArNxd9ueE7bul0_3jTVjTao9AE1tk_st1pZBigZQ==,05-10-2021,03-10-2031,Armenia
7.45337E+11,Timothy Carroll,02-07-1971,gAAAAABn5CE3rAQZOpWVbTlaX-JoTlS_UsMSQhVviSkKGup49Rmq4X4usHq3h2rlKqW7kWUEDMM0MCRDHaKRvpXLHZ60sfeKXQ==,29-01-2016,26-01-2026,United States Minor Outlying Islands
3.71501E+11,Michelle Smith,21-01-1961,gAAAAABn5CE3U25X-hzi1njRvudXCTHZKusgIzLGO_kZ1aaUSL8px11_xurG_TQPfb-VErYtS5jYZHLqiQ9wv6J_ckEVHioYtw==,06-10-2018,03-10-2028,Sao Tome and Principe
6.28654E+11,Timothy Brennan,19-09-2000,gAAAAABn5CE3WllYz7e8kRqoZ1-8X-mb5gzx_fA3zpsem7x4cKEnTS0ncjPDMtugRCGIOR9NlP3E3-Q-zQJQAFRWIzgxq35KEQ==,01-04-2017,30-03-2027,Northern Mariana Islands
5.30961E+11,Stephen Burke,15-04-1960,gAAAAABn5CE3vg6BqT18oMteTUVraronyoDctTdKPC8WGBN7E7YX4X6tZBmtsOIeOYjzTzPQkmyEd31_YW9LuWkwP9xqRaxjeQ==,06-11-2020,04-11-2030,Micronesia
8.14507E+11,Jessica Perez,23-06-1963,gAAAAABn5CE3ucX9HvpW_Ir7pRRxA2QCxVrmZ83DIHT9Wuy13Zr_NmA16ON1vSTYjWsWrwjdBGL5NddL2zAPWYeQbXi0HHahxQ==,05-10-2023,02-10-2033,Niue
9.38436E+11,Curtis Allison,22-03-1968,gAAAAABn5CE3u5nXXi6c19AaKZuHCTWIMENojv_tk127UB3PDPrhINDFBAmtZ5EA6A8PKdN96ysj4yr2blBiGQSTZR3rE5uFBg==,30-09-2021,28-09-2031,Chad
6.25039E+11,Jeffrey Garcia,27-10-1975,gAAAAABn5CE3nf7qJMAJaKy6uSdj758h6Sdz6iI2wauzPqHCZH72wChO8VOCW7E0x5Y8C75aTRnqEaIymY1f4KZsE6zumpTMug==,16-03-2022,13-03-2032,Venezuela
3.69042E+11,Sherry Brown,16-02-1990,gAAAAABn5CE3XBgAeBvMjCqr2Kafq6YKSgnpf4FJ6YMz83apJeAVNHeAEQHV069xZVcdQcnBsK_4g0fhl4QqFwqtMwnv_QA1qw==,23-10-2016,21-10-2026,United States Minor Outlying Islands
5.00586E+11,Cody Hill,09-01-2006,gAAAAABn5CE355FF83EpK90qze0_smjgSVqEfIIecUKwQJWJv4VwcdP4zk5aDhYaCbn0eWZ9siBNHRQIJCWVRTy-pGXdHDsPig==,28-04-2021,26-04-2031,Nicaragua
6.01463E+11,Todd Burgess,18-05-1989,gAAAAABn5CE3NmI-2j0GoeFfBTOB12jJc15b12xhYckyLy9I732leTlDa70zNhTtakkXS95xK83-kHog5-vVi6JdwCrZTPkzRA==,21-10-2019,18-10-2029,Guatemala
4.73861E+11,Joseph Skinner,08-01-1971,gAAAAABn5CE3G6bClSs5Z02NlyCD95lViqlvXaV48wBx9x8VnP8gcITXKkdxlwCMcmDpxDKYcjzVzZ-xNsinX8Dbs-fKoPIr-w==,05-03-2019,02-03-2029,Tunisia
5.55774E+11,Katrina Morgan,09-04-1972,gAAAAABn5CE35T3r0Nq9HbLK5LQIiSlD276YKkjNOWkqcSU4IiARluKckrN33OlLVphc6asVIkPqD2IXmRWY5w2BXUQZnxbycA==,17-06-2019,14-06-2029,Belize
3.70155E+11,Lydia Wilkins,23-01-1967,gAAAAABn5CE3VNGHBdGgYY3MTJon8zcbH1BjnF_-Jf1r1qRUOPMicBZc_BuTNK24CfvCFYrFUUeXKCMcS_9xmzbFyX3EWxBhNQ==,19-08-2023,16-08-2033,Bosnia and Herzegovina
8.55264E+11,Russell Morris,04-01-1958,gAAAAABn5CE366V5ZXbIHEbNi2pAc47fyXD_MDe7o3x5mZU9kZz3t9zfIxE_JKmR-_WxM9yuJb7DW5bZqqbUMf3LeCFiWH9mnA==,08-06-2015,05-06-2025,Antarctica (the territory South of 60 deg S)
5.94811E+11,Craig Wilson,04-02-1981,gAAAAABn5CE36z_IsRwPhw11pZE2z3YNhIJ3radx21EZ9xZfWUdJZs0Z62L3hQZTugz5lx-51SDRfb9lgUM8dE2mNwumNWEz0Q==,11-12-2018,08-12-2028,Central African Republic
1.65749E+11,Christopher Tate,28-11-1987,gAAAAABn5CE3-8UQ-9bxrDcTUZtu89JvpE1sRSjfHhBW3LKhErWcauaZ8-nw02zkVUdp9PgGLlxtOBCsw2CMPvF_ndMRo-l8Wg==,06-01-2017,04-01-2027,Bolivia
4.73249E+11,Kenneth Murphy,13-03-1982,gAAAAABn5CE3jEvjC4rXxIKLRkCuazqjqmKW1KwcFtL7psPYGdljGkUPVrqjQJNahOdqlkCotR8gnAoh6z_rzIkT_q85rnrf0Q==,26-03-2016,24-03-2026,Saint Martin
6.08365E+11,Richard Hall,27-06-1975,gAAAAABn5CE3dDoRZRXvetSA8nE1j4JmYWZhgd18y-JvMHlvLFyRCexrRzgCqAhf_EpDO8YrK8-b9BhDnDhMQtC0s7gS8afiYQ==,29-08-2020,27-08-2030,Gabon
9.18342E+11,Kathleen Gilbert,04-01-1956,gAAAAABn5CE3WmLXyBok-BsaayiklQz3LbIgwEN-U9sxGOnoh98Cw-S_P0OvcPoEQ6oAzYiIwDDeJwi2kGnM6zj02rd9ZiGM7g==,16-03-2021,14-03-2031,Thailand
9.08709E+11,Jennifer Davis,17-07-1971,gAAAAABn5CE3HJeLnJqz0Fspu2r4hU4t_ui-8_oh69IAZbRpFJ9IKJRrzr-bZHeXPaUqu-zEkpcf9x5gXUnnwls7oi2-Bi318Q==,04-04-2015,01-04-2025,Micronesia
1.18676E+11,Ashley Bautista,17-03-1949,gAAAAABn5CE3gFKf-MJZeUV1jS5TyzJlfpUt45OoHDsWh1wqJptW5MyxV5IdicpvU1Q9nL18NeFMasxiQ2Hisn6mXKhYmiS7Nw==,28-10-2018,25-10-2028,Antarctica (the territory South of 60 deg S)
1.29746E+11,Shawn Wong,03-11-2004,gAAAAABn5CE3-9k9Cyg6wzU5U-MwI7y9FED1xGC3r3Jg7zbPUgeN-DTl3SxajLNHYYJdLlzRc7KcdTYD8LAK0zADG5MYaseesw==,06-02-2016,03-02-2026,Mauritania
1.54971E+11,Debra Kelly,28-12-1990,gAAAAABn5CE3aLgy9B4fUgaKqjtaa8hqPbvqBJF6yt_YrfVixvLdDWWjx6t1wsHDgiPWtq9vcaaN_oIghnWCucuWK4cXnJDVaQ==,23-04-2020,21-04-2030,Finland
6.3187E+11,Michael Ellis,18-08-1968,gAAAAABn5CE3oQIQGW-NPA4c8VWoItEj9RhMqZ1pl2mt2mDVQGSFSAuINjAtrzqWveUsiOIktZPh_SCGinCXleTmSrk5Sb_Yog==,15-05-2016,13-05-2026,Samoa
5.19528E+11,Michael Cruz,27-06-1989,gAAAAABn5CE3FtpEX8tg1XoeRRqTUbBz8yhqWarr4j7qNna1PBOSwzVsgvg06CZL0Mzmimsu1zLRsCWcZUK7zvQJoo-5p0bQyA==,25-12-2015,22-12-2025,French Guiana
3.17039E+11,Elizabeth Huynh,08-10-2002,gAAAAABn5CE3hz5AKfJLMadMvdn3ykWoKfxE02SdmNK9zufcwNQw-tpmQqBt_3L1iUH7Z9LKe8qlF_5qe1TS2jz4m2lTzNvrAA==,29-01-2018,27-01-2028,Italy
2.35274E+11,Christine Hood,13-01-1996,gAAAAABn5CE3MgCz1-LCM_tSDbuypBmGf903xX9ycu8viS3wgFMEG3snzZFstd7Bo1uqCmwy6MLAgG1_qDxvY3B5X3EG4yv9gQ==,24-05-2023,21-05-2033,Marshall Islands
2.90173E+11,Monica Carter,28-07-1976,gAAAAABn5CE3YQvk5f9fPlUdbcok4ZiBByY6VoyuB9jOFNbYzXO3WCOCCrt65qLa5PhguOZNTuj9hKZRYQLOI8Nom2DSWsDwQA==,11-05-2020,09-05-2030,Saint Vincent and the Grenadines
2.90163E+11,Danielle Wood,24-03-1999,gAAAAABn5CE3rqd7rfDFfwqEsA-iV7ilc1ocPPMrxvcKW-IdcXgpW4WwDym-TMbtZTyaUPrgqVSSeARQl_JJoQr1MiVL4z1jgg==,04-07-2021,02-07-2031,Lao People's Democratic Republic
1.46751E+11,William Mccoy,04-06-1991,gAAAAABn5CE3FmsiB5QlJiYUX-O3bemeSn0WujY0g3oXs4XVkYQfIPZVmv5L17ne7RMUMCvNwoU01pEzDojfVGq2YMNyUM8B-A==,04-09-2018,01-09-2028,San Marino
5.17393E+11,Alison Perkins,21-10-1962,gAAAAABn5CE3wHmi66hp-VeCU27E53Khj-LawgYOg0Y4YoKBko9NnV5rpULA3UMeapze2k2_kXg765WT1bCfsJISWJBLJCpV5A==,20-06-2018,17-06-2028,Uganda
7.72179E+11,Jessica Jones,31-12-1977,gAAAAABn5CE3WPhUwkL3i_5IHdKzxZzIDGN-0CtE-prrJVWiLOIgBrhWYQCWWUaRsJ_PCCxO8qup9kmAhwyi3BOCGD6F_nlfOg==,14-10-2017,12-10-2027,Grenada
4.14191E+11,Tina Smith,28-02-1983,gAAAAABn5CE3RVADyhlcKpdgi-xfW3ZDaIiJyjjf1XAGdqvpGH8DIfTE3g3g-jEuxwBIRLu7lDPeVU9CNLzbB3y-v2jj8kzmVg==,25-10-2018,22-10-2028,Netherlands
7.3314E+11,Evan Foster,27-11-1973,gAAAAABn5CE3vlsJXwJqgQOxwTIQWI9RL_3v9EiU2K0oN2KEcB4Fh3ufPsGfi31-Tls3mxR-wbkFa8gxyAGnuAbdnEKkRaxdtQ==,03-01-2023,31-12-2032,Bahrain
7.02165E+11,Dave Martinez,30-05-1946,gAAAAABn5CE3idoLf2NWM4a2SfI28DffN9OxZo63cAYwtbJGsnDhGvNgz8IEwPzyEQKArc2QpiahUMs22_aKzVf97jrl4HrfMQ==,14-03-2018,11-03-2028,Australia
3.49084E+11,Randy Lopez,03-11-1949,gAAAAABn5CE354yj376QvfElPVIrSkOwxDl-vlOm9ws8R7n0nLuH2drPnr330SJCtJYa8C-STHBGlXonc8qO9QXe6KPX62yf-w==,29-11-2021,27-11-2031,Slovakia (Slovak Republic)
6.43003E+11,Katie Griffin,20-06-1981,gAAAAABn5CE3t1Dy3EySCfdnBpcnWXl-EDmKoRnBStPY7jdEwiangE2jj3xTa9-6IA6DpEyHRS2Ma5Dj7x1KhmbCldLipPc4kg==,25-03-2017,23-03-2027,Belarus
2.08864E+11,Phyllis Hall,08-04-1957,gAAAAABn5CE3nmhcPY1hit9eAcQ4BF-4v6iOBiIJx4FKEWwPp9LL0RMAbsYElYv_pW8DunpHNkTQvrGYMzY-u_QQ51zzsDfQ9w==,18-09-2023,15-09-2033,French Southern Territories
8.76165E+11,Sean Love,27-10-1958,gAAAAABn5CE3b7D18sDTato0xnC1sRHHCmFWH9IqJRCpwZhGGtPy0BtxL5CJ9nh_08xdo6j6aaw_BS3Gzvga3uCxd3tqNCX3zQ==,01-04-2016,30-03-2026,Botswana
7.90076E+11,Danielle Roberts,11-03-1952,gAAAAABn5CE3HA8tvHKa8QKxmJ7l3aTesi9c-_hSMjqht3n7aWC_1rRRiFFQShepMzjGqPamceHkpnPhQAGelGEU7GmFgRcjwQ==,12-10-2015,09-10-2025,Cyprus
9.0848E+11,Dustin Kelly,04-02-2004,gAAAAABn5CE3EKBMWelKZjvhY3NSNrAKHUNgbtKYNSnyY651fJM6jFg9pG0aDAR6UeENST7mJDoK2ejaufllfOW789MUT5KkNA==,08-12-2020,06-12-2030,Pakistan
1.26792E+11,Debra Rivera,24-10-1988,gAAAAABn5CE3OU0KbYnnGGeR9-238DTFClXd2b1setnDPDidQVdbfPGZjIULFgeCySzN0qdz6h2AVzWA-hFK0MHzG9Ev5MPQ9A==,28-11-2022,25-11-2032,Turkey
3.52573E+11,Allison Washington,04-05-1947,gAAAAABn5CE30feCPeFlUyoTrL1S9UHOiN-9VznyBUJwHYiUoiSalw8g940Zqr-F72DEQXDo3a3oUg8EOyEUHx9CfnXur-ph3Q==,10-09-2016,08-09-2026,Cocos (Keeling) Islands
8.65605E+11,Beth Valentine,21-07-1974,gAAAAABn5CE3xMVZlYi5Bew0fNqHeb9ct8YzoytDNEoPrycrY6Nwztb-x-R3DY-pcmilteFqoDZ1fK9T9HACycxqu7H5RPVuiA==,26-11-2023,23-11-2033,Cook Islands
5.05589E+11,Eric Cooper MD,28-07-1964,gAAAAABn5CE3HW8cDUAoHRxJg9gJdzzOblUF0h94hNoMjKpnXYSI03z6kaa9u8G2BwgcoUpdCMFW9dMHSJyKnKPsVGRl7eFDmg==,16-02-2021,14-02-2031,French Guiana
6.52565E+11,David Molina,09-05-1944,gAAAAABn5CE3WVoFpa2DKOLGX5IMeEzxLBnF_8hU04y0G9jwtPMqW2klUNp01TXXqPNTw7lyMTnZ2zC4OEq5xHUnt4Q4TLMrmw==,26-10-2019,23-10-2029,Poland
4.06191E+11,Sara Contreras,28-04-1955,gAAAAABn5CE3TX0VpVeJeHye60bIQOvYsfGjVOTWBe0vIdfH4unqeR7SrHOY8S8ZZMLDa2CvLfWqEFNRCrQhrDFdeT0Qy6KJ3Q==,25-05-2017,23-05-2027,French Polynesia
3.7315E+11,Jessica Marshall,23-06-1963,gAAAAABn5CE3RfLHE3uysfYRvwz1-THeIfdTOG3Pm394iO2bQcOCPAVJI-kP63UdfCsF-fY2q07O5A85RJdm7B0IekOEBnSy7A==,22-11-2018,19-11-2028,Guyana
1.57136E+11,Samantha Campbell,28-09-1952,gAAAAABn5CE3Z_j5KMarE515-OvGj3VOm4s8tVLymTrw9kUa-voi-BgnHV_03Epz9A3BKgI1JqQcX71EzgNuvbxdNFO9Ltt56Q==,25-08-2019,22-08-2029,Cocos (Keeling) Islands
6.20799E+11,Holly Bailey,21-11-1982,gAAAAABn5CE3sCBbt0pjcuZtykPl28uOAnq8KUrsYvZTee9eo7DLeDkvqiS5Kzb1iRhQjPY5E-ZG1gZwtaUuBpUGczdzWT1sug==,18-04-2022,15-04-2032,Egypt
8.07825E+11,Ian Hodge,07-02-1969,gAAAAABn5CE3I4VKxP17hD_ud6VBxj7aJJ0MAnF3RwqiCpWl0o5RGYYYwlDIzF-Zz-xqVdQkZlXKAYbi7aQwOQvVXw3jz490Ug==,21-11-2023,18-11-2033,Netherlands
3.08606E+11,John Smith,22-11-1977,gAAAAABn5CE3cmMkibJcIw08ov8OvKqCSLOrRLFyMrblXQYHacUHirNzf4kxW6Ob4q-dktFuxUBsMPaHQbojDkiCOvTES7KKwg==,28-03-2021,26-03-2031,Macedonia
1.97361E+11,Keith Bennett,09-06-1995,gAAAAABn5CE3PkstY_HwapNQMS57iU6olXUvruhWDuhXtNl8vXIRRL8DGS-ECwowuF6Z0gpwh161v4o8006GpPo1JlX9JpeOiQ==,31-03-2023,28-03-2033,Holy See (Vatican City State)
3.70905E+11,Jesse Lozano,30-10-2002,gAAAAABn5CE3RFJ-bJBgn9u80WFWxRs-xWxSwuFsGX2L3pZNiur0Y5eucnvlOlOQdedF0flu2raqkh3-ElO7i-hiLzA5qGpH0A==,13-06-2021,11-06-2031,Palau
8.70869E+11,Caitlin Miller,20-05-1949,gAAAAABn5CE3YrzBPFnzpuKJO88MVFMI903n17T_ULQ_Qya73BROpIlflPlteckN-XMSgpxpTad6MZl0CJBcJTwnVecsN642tA==,05-04-2023,02-04-2033,Saint Barthelemy
1.91346E+11,Jacqueline Choi,05-09-1968,gAAAAABn5CE3tSoqOUQsdC-u02zvE8_BoNuLx-ek_q-lQhif7337ovLbJgoZyK89fW_mnp94iF-XECSiQZA8eLN9eO7Ffoe5SQ==,19-04-2017,17-04-2027,Northern Mariana Islands
7.40194E+11,Kristina Davis,07-11-1949,gAAAAABn5CE3WwVL5308ROR4LNafc87r8D-KVWArpYTGcwt9sUAznds3LazxGcP_ayU46u5lbM4uJ0Psv3CTwwyVX-tUWI_CVQ==,17-04-2022,14-04-2032,Angola
4.74068E+11,Anthony Robinson,04-03-1957,gAAAAABn5CE3Aoijzcpfd0YACRARtbSo37YrXmti7-C1b1a8Q7F_RZ6be8UoPorkt49g5SzVfDM825rgBl5762mbrDa2Qk4NCQ==,29-07-2023,26-07-2033,Bangladesh
8.45601E+11,Nathan Harrison,02-07-1960,gAAAAABn5CE3Z-0k1Tx1WIkM7SVFckCcdla6RPx9E6g0bDSrIFmwdxy1EuzAOz7_XHFAW8oYJpjPEKc07HChOdQgmGqRU0Geyg==,22-05-2021,20-05-2031,Saint Kitts and Nevis
